province_name,district_name,metric_key,metric_value,unit,data_year,source_org,source_name,source_url,verified_at
Yozgat,,student_count,72774,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Zonguldak,,school_count,546,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Zonguldak,,student_count,92367,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Karabük,,school_count,251,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Karabük,,student_count,37589,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Bartın,,school_count,198,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Bartın,,student_count,30774,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kastamonu,,school_count,374,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kastamonu,,student_count,56672,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Çankırı,,school_count,176,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Çankırı,,student_count,29593,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Sinop,,school_count,180,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Sinop,,student_count,33834,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Samsun,,school_count,1304,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Samsun,,student_count,253179,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Tokat,,school_count,660,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Tokat,,student_count,102464,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Çorum,,school_count,501,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Çorum,,student_count,92500,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Amasya,,school_count,369,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Amasya,,student_count,58432,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Trabzon,,school_count,720,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Trabzon,,student_count,147899,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Ordu,,school_count,688,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Ordu,,student_count,131905,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Giresun,,school_count,410,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Giresun,,student_count,68628,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Rize,,school_count,333,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Rize,,student_count,59841,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Artvin,,school_count,178,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Artvin,,student_count,24618,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Gümüşhane,,school_count,167,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Gümüşhane,,student_count,19128,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Erzurum,,school_count,1362,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Erzurum,,student_count,160913,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Erzincan,,school_count,272,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Erzincan,,student_count,42541,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Bayburt,,school_count,136,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Bayburt,,student_count,14597,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Ağrı,,school_count,1028,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Ağrı,,student_count,137967,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kars,,school_count,644,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Kars,,student_count,59573,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Iğdır,,school_count,323,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Iğdır,,student_count,51063,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Ardahan,,school_count,187,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Ardahan,,student_count,16347,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Malatya,,school_count,862,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Malatya,,student_count,156562,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Elazığ,,school_count,563,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Elazığ,,student_count,121758,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Bingöl,,school_count,418,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Bingöl,,student_count,62690,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Tunceli,,school_count,102,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Tunceli,,student_count,10182,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Van,,school_count,1680,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Van,,student_count,308498,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Muş,,school_count,730,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Muş,,student_count,104880,kisi,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
Bitlis,,school_count,791,adet,2024-2025,MEB,"Millî Eğitim İstatistikleri, Örgün Eğitim 2024/25 - Tablo 1.17",https://sgb.meb.gov.tr/,
